-9.71 ,114.25 
-6.33 ,16.07 
9.05 ,48.82 
74.99 ,18.16 
-26.47 ,27.85 
-112.35 ,-24.04 
100.79 ,-20.87 
-14.33 ,8.06 
-216.58 ,-44.79 
2.44 ,-44.11 
5.12 ,-80.74 
54.83 ,47.91 
-38.43 ,-68.18 
10.34 ,9.47 
-80.84 ,-16.97 
-27.36 ,10.45 
-21.60 ,-31.13 
22.33 ,-41.12 
-49.89 ,-23.52 
15.43 ,-10.69 
-15.36 ,-3.28 
-76.61 ,-121.36 
45.51 ,-44.14 
130.29 ,106.50 
-100.42 ,-22.36 
-53.55 ,29.59 
91.08 ,39.51 
-13.54 ,83.64 
15.87 ,39.99 
37.86 ,75.08 
-38.76 ,8.09 
77.38 ,98.24 
-6.82 ,-21.62 
-32.20 ,-12.23 
0.34 ,44.57 
117.52 ,125.73 
-68.70 ,-62.00 
5.64 ,-1.44 
30.83 ,-20.92 
24.62 ,42.37 
4.08 ,50.78 
-77.85 ,-28.65 
-70.89 ,-28.51 
-11.16 ,-11.92 
62.76 ,72.65 
43.39 ,73.17 
91.00 ,80.03 
27.23 ,-32.09 
94.78 ,94.36 
-147.21 ,-5.51 
16.86 ,-92.52 
-61.95 ,-44.79 
92.00 ,-52.24 
60.36 ,27.19 
76.12 ,12.92 
35.61 ,-62.22 
-60.38 ,10.41 
8.82 ,5.52 
-37.38 ,-44.53 
26.61 ,89.07 
27.04 ,49.23 
-118.24 ,-90.62 
-2.99 ,-52.28 
79.46 ,93.31 
60.19 ,-54.08 
87.22 ,54.09 
90.04 ,86.05 
-20.41 ,-39.91 
1.46 ,-0.74 
-55.13 ,-50.53 
10.75 ,26.71 
-48.61 ,-2.22 
31.71 ,-71.66 
34.53 ,33.69 
-130.95 ,-111.73 
-30.40 ,-8.47 
-42.11 ,-161.49 
-86.32 ,-78.81 
-25.54 ,-11.58 
83.56 ,50.25 
19.75 ,4.86 
47.11 ,36.04 
-20.45 ,-53.61 
82.69 ,55.18 
64.05 ,-13.74 
-19.77 ,31.59 
30.02 ,-9.34 
-22.43 ,77.20 
77.80 ,40.71 
-72.17 ,-22.89 
-57.69 ,-41.54 
67.13 ,37.07 
12.64 ,29.85 
51.51 ,-68.00 
-112.77 ,-113.11 
28.93 ,31.42 
-72.90 ,-35.32 
141.43 ,121.72 
-1.24 ,-22.94 
9.47 ,-58.96 
44.37 ,-27.99 
2.27 ,45.88 
-77.27 ,-65.49 
-40.98 ,70.65 
-29.24 ,-22.73 
-29.59 ,-74.82 
-34.77 ,67.94 
29.55 ,2.91 
-13.85 ,67.26 
-7.24 ,34.30 
-151.87 ,-130.28 
-20.08 ,-22.57 
72.66 ,71.98 
7.30 ,-5.99 
-1.62 ,-8.39 
12.70 ,49.25 
-5.16 ,9.28 
43.06 ,39.07 
48.03 ,37.19 
66.14 ,21.83 
75.00 ,35.31 
13.28 ,-74.21 
-49.88 ,-100.27 
-50.02 ,61.54 
-22.83 ,2.11 
20.22 ,93.04 
-49.41 ,-9.35 
38.58 ,30.18 
14.81 ,69.03 
-4.83 ,59.94 
113.60 ,73.93 
-16.92 ,-8.87 
-15.70 ,-2.85 
-102.95 ,-24.84 
-27.99 ,-2.92 
108.74 ,-81.22 
-37.95 ,-85.06 
8.22 ,-53.26 
-47.41 ,-29.88 
-88.16 ,-100.87 
-41.26 ,-26.54 
-11.73 ,12.12 
